x,y
6651,14559
6842,14660
6872,14693
6903,14746
6958,14859
6999,14913
7071,14979
7144,15026
7197,15052
7299,15091
7439,15127
7546,15148
7633,15163
7763,15187
7861,15209
7957,15234
8091,15274
8242,15320
8286,15334
8490,15399
8724,15487
8953,15576
9102,15631
9381,15726
9587,15794
9699,15829
9865,15869
9974,15881
10138,15877
10324,15836
10409,15800
10506,15744
10654,15618
10736,15511
10836,15304
10873,15183
10917,14936
10926,14864
10942,14715
10953,14588
10965,14419
10981,14166
10993,14003
11003,13879
11019,13698
11043,13462
11059,13273
11066,13161
11067,13069
11064,12972
11051,12873
11011,12733
10974,12656
10932,12592
10850,12499
10791,12448
10684,12373
10519,12280
10362,12199
10269,12153
10216,12127
10109,12072
9989,12009
9740,11875
9623,11812
9390,11687
9092,11520
8991,11462
8877,11396
8774,11337
8590,11235
8470,11168
8200,11015
7967,10881
7735,10739
7654,10686
7432,10530
7289,10417
7108,10269
6824,10034
6644,9877
6411,9674
6177,9470
6046,9357
5849,9186
5744,9094
5533,8911
5283,8693
5124,8555
4992,8441
4714,8199
4529,8038
4439,7960
4335,7869
4157,7714
3960,7544
3830,7430
3712,7328
3582,7215
3426,7079
3161,6849
3032,6737
2918,6634
2782,6506
2712,6434
2624,6313
2578,6211
2559,6137
2545,5987
2545,5845
2545,5722
2542,5617
2536,5530
2512,5390
2443,5185
2414,5122
2344,5001
2249,4875
2190,4811
2046,4664
1957,4556
1872,4410
1784,4132
1740,3868
1724,3696
1702,3449
1691,3331
1672,3149
1658,2998
1647,2876
1621,2582
1606,2425
1591,2266
1572,2058
1559,1913
1544,1751
1526,1555
1511,1390
1490,1158
1474,991
1453,755
1428,483
1420,398
1390,71
1369,-152
1345,-413
1339,-483
1313,-763
1297,-937
1284,-1084
1267,-1260
1241,-1541
1216,-1823
1191,-2087
1175,-2263
1156,-2475
1139,-2651
1106,-3020
1088,-3212
1073,-3369
1046,-3665
1027,-3857
1012,-4013
1002,-4116
981,-4306
946,-4594
907,-4836
856,-5060
813,-5201
761,-5329
736,-5379
581,-5585
499,-5653
373,-5727
316,-5752
225,-5779
76,-5800
-11,-5800
-100,-5792
-349,-5726
-474,-5669
-589,-5603
-760,-5471
-854,-5381
-984,-5229
-1099,-5061
-1180,-4915
-1240,-4787
-1288,-4668
-1358,-4462
-1421,-4205
-1461,-3965
-1489,-3651
-1493,-3542
-1497,-3384
-1499,-3130
-1498,-2921
-1495,-2742
-1494,-2709
-1490,-2546
-1481,-2297
-1471,-2080
-1462,-1895
-1452,-1726
-1437,-1505
-1425,-1333
-1411,-1144
-1398,-971
-1370,-633
-1355,-458
-1338,-265
-1313,17
-1295,213
-1269,516
-1249,750
-1240,858
-1215,1147
-1199,1328
-1165,1727
-1148,1927
-1132,2108
-1109,2380
-1097,2511
-1077,2746
-1052,3035
-1038,3198
-1021,3396
-1002,3612
-979,3882
-951,4206
-930,4458
-903,4762
-888,4941
-865,5208
-853,5350
-830,5616
-810,5845
-785,6132
-771,6308
-758,6464
-729,6807
-709,7049
-702,7125
-684,7344
-668,7542
-651,7732
-646,7787
-630,7927
-608,8043
-593,8095
-582,8122
-550,8185
-520,8226
-456,8279
-418,8296
-193,8380
-156,8717
-168,8771
-192,8864
-212,8937
-239,9038
-250,9082
-273,9168
-291,9244
-317,9352
-341,9455
-381,9661
-394,9748
-407,9859
-420,10046
-425,10217
-426,10486
-424,10579
-409,10880
-397,11035
-384,11163
-362,11336
-309,11643
-237,11923
-183,12084
-139,12201
-57,12388
6,12516
85,12656
236,12885
386,13077
629,13324
742,13422
873,13526
1080,13669
1418,13862
1526,13913
1855,14048
2181,14145
2531,14219
2733,14252
2970,14286
3106,14302
3225,14316
3601,14348
3958,14379
4221,14400
4392,14413
4572,14425
4894,14445
5250,14462
5502,14471
5697,14480
5805,14484
5921,14488
6167,14496
6257,14500
6389,14507
6468,14516
6600,14543
6703,14577
6762,14604
6803,14629
6880,14704
6913,14767
