meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1239,9550,2024-06-30 12:20:00+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1239,9550,2024-06-30 12:30:00+00:00,,1,Other,,,,,PIT EXIT CLOSED
1239,9550,2024-06-30 12:45:17+00:00,,1,Other,,,,,RISK OF RAIN FOR F1 RACE IS 10%
1239,9550,2024-06-30 12:57:10+00:00,,1,Drs,,,,,DRS DISABLED
1239,9550,2024-06-30 13:03:02+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1239,9550,2024-06-30 13:03:02.157000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1239,9550,2024-06-30 13:04:07+00:00,,1,Drs,,,,,DRS ENABLED
1239,9550,2024-06-30 13:06:31+00:00,,3,Other,,,,,TURN 1 INCIDENT INVOLVING CARS 44 (HAM) AND 55 (SAI) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1239,9550,2024-06-30 13:07:41+00:00,,4,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 44 (HAM) AND 55 (SAI) UNDER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1239,9550,2024-06-30 13:09:03+00:00,,6,Other,,,,,CAR 3 (RIC) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 1 15:03:32
1239,9550,2024-06-30 13:09:52+00:00,,6,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 44 (HAM) AND 55 (SAI) NO FURTHER ACTION - LEAVING THE TRACK AND GAINING AN ADVANTAGE
1239,9550,2024-06-30 13:10:57+00:00,,7,Other,,,,,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 81 (PIA) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK
1239,9550,2024-06-30 13:12:24+00:00,,8,Other,,,,,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 81 (PIA) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK
1239,9550,2024-06-30 13:18:18+00:00,,13,Other,,,,,CAR 27 (HUL) TIME 1:29.202 DELETED - TRACK LIMITS AT TURN 3 LAP 12 15:16:58
1239,9550,2024-06-30 13:20:03+00:00,,15,Other,,,,,CAR 4 (NOR) TIME 1:11.751 DELETED - TRACK LIMITS AT TURN 3 LAP 10 15:14:03
1239,9550,2024-06-30 13:24:38+00:00,2.0,19,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:24:38
1239,9550,2024-06-30 13:24:53+00:00,2.0,19,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:24:52
1239,9550,2024-06-30 13:27:08+00:00,,21,Other,,,,,TURN 3 INCIDENT INVOLVING CARS 14 (ALO) AND 24 (ZHO) NOTED - CAUSING A COLLISION
1239,9550,2024-06-30 13:27:44+00:00,,21,Other,,,,,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 14 (ALO) AND 24 (ZHO) UNDER INVESTIGATION - CAUSING A COLLISION
1239,9550,2024-06-30 13:27:46+00:00,2.0,21,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:27:46
1239,9550,2024-06-30 13:27:53+00:00,,22,Other,,,,,CAR 24 (ZHO) TIME 1:15.649 DELETED - TRACK LIMITS AT TURN 3 LAP 20 15:26:33
1239,9550,2024-06-30 13:28:24+00:00,,22,Other,,,,,CAR 11 (PER) TIME 1:16.283 DELETED - TRACK LIMITS AT TURN 1 LAP 21 15:27:05
1239,9550,2024-06-30 13:29:06+00:00,,23,Other,,,,,INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY
1239,9550,2024-06-30 13:29:27+00:00,,23,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY
1239,9550,2024-06-30 13:30:06+00:00,,23,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 14 (ALO) - CAUSING A COLLISION
1239,9550,2024-06-30 13:30:46+00:00,2.0,24,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:30:46
1239,9550,2024-06-30 13:31:15+00:00,,24,Other,,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 44 (HAM) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY
1239,9550,2024-06-30 13:31:19+00:00,2.0,24,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:31:18
1239,9550,2024-06-30 13:32:25+00:00,,25,Other,,,,,INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) NOTED - UNSAFE RELEASE
1239,9550,2024-06-30 13:33:28+00:00,2.0,26,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:33:27
1239,9550,2024-06-30 13:33:34+00:00,,26,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) UNDER INVESTIGATION - UNSAFE RELEASE
1239,9550,2024-06-30 13:34:19+00:00,2.0,27,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:34:18
1239,9550,2024-06-30 13:37:39+00:00,2.0,30,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:37:38
1239,9550,2024-06-30 13:38:58+00:00,,31,Other,,,,,INCIDENT INVOLVING CAR 11 (PER) NOTED - SPEEDING IN THE PIT LANE
1239,9550,2024-06-30 13:39:07+00:00,,31,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE
1239,9550,2024-06-30 13:40:32+00:00,,32,Other,,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 11 (PER) - SPEEDING IN THE PIT LANE
1239,9550,2024-06-30 13:40:59+00:00,24.0,33,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:40:58
1239,9550,2024-06-30 13:42:33+00:00,2.0,34,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:42:33
1239,9550,2024-06-30 13:43:16+00:00,,34,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CARS 1 (VER) AND 4 (NOR) NO FURTHER ACTION - UNSAFE RELEASE
1239,9550,2024-06-30 13:45:21+00:00,,36,Other,,,,,CAR 10 (GAS) TIME 1:12.924 DELETED - TRACK LIMITS AT TURN 3 LAP 35 15:44:30
1239,9550,2024-06-30 13:45:30+00:00,24.0,36,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:45:29
1239,9550,2024-06-30 13:45:41+00:00,24.0,37,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:45:41
1239,9550,2024-06-30 13:47:06+00:00,,38,Other,,,,,CAR 22 (TSU) TIME 1:11.950 DELETED - TRACK LIMITS AT TURN 1 LAP 36 15:45:29
1239,9550,2024-06-30 13:47:55+00:00,24.0,38,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:47:54
1239,9550,2024-06-30 13:50:37+00:00,,41,Other,,,,,TURN 3 INCIDENT INVOLVING CARS 31 (OCO) AND 14 (ALO) NOTED
1239,9550,2024-06-30 13:51:23+00:00,27.0,41,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:51:22
1239,9550,2024-06-30 13:51:34+00:00,27.0,42,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:51:33
1239,9550,2024-06-30 13:52:04+00:00,24.0,42,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:52:04
1239,9550,2024-06-30 13:52:33+00:00,24.0,42,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:52:33
1239,9550,2024-06-30 13:53:05+00:00,77.0,43,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:53:04
1239,9550,2024-06-30 13:53:23+00:00,,43,Other,,,,,INCIDENT INVOLVING CAR 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY
1239,9550,2024-06-30 13:54:20+00:00,77.0,44,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:54:20
1239,9550,2024-06-30 13:54:29+00:00,16.0,44,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 16 (LEC) TIMED AT 15:54:29
