x,y
-2901,-2242
-3008,-2226
-3084,-2200
-3167,-2156
-3202,-2131
-3286,-2049
-3329,-1983
-3362,-1922
-3424,-1804
-3468,-1723
-3533,-1616
-3621,-1489
-3686,-1395
-3760,-1285
-3860,-1135
-3906,-1066
-4074,-812
-4123,-737
-4274,-508
-4440,-257
-4533,-117
-4611,2
-4777,259
-4880,423
-5038,696
-5089,790
-5203,1008
-5301,1202
-5385,1370
-5477,1554
-5546,1697
-5664,1942
-5744,2113
-5827,2289
-5882,2407
-5959,2569
-6038,2731
-6097,2849
-6225,3077
-6297,3190
-6454,3425
-6646,3672
-6745,3783
-6858,3904
-6949,3999
-7095,4148
-7140,4194
-7255,4307
-7358,4407
-7491,4537
-7633,4674
-7710,4747
-7790,4822
-7923,4950
-8001,5023
-8121,5140
-8169,5197
-8217,5287
-8233,5385
-7885,5611
-7842,5617
-7741,5630
-7682,5637
-7617,5645
-7525,5654
-7449,5660
-7323,5668
-7220,5674
-7136,5677
-6884,5679
-6699,5674
-6489,5663
-6393,5656
-6194,5637
-6053,5621
-5843,5594
-5680,5570
-5446,5531
-5249,5496
-5091,5466
-4932,5435
-4696,5387
-4636,5375
-4456,5339
-4228,5293
-3981,5244
-3826,5213
-3669,5185
-3478,5155
-3237,5120
-3108,5102
-3043,5093
-2717,5049
-2341,5007
-2016,4985
-1818,4977
-1655,4972
-1431,4964
-1247,4960
-1043,4955
-935,4952
-847,4950
-672,4942
-548,4921
-440,4879
-392,4850
-341,4811
-301,4767
-262,4680
-248,4604
-246,4513
-261,4431
-303,4329
-375,4202
-450,4100
-533,3999
-626,3904
-711,3829
-859,3722
-895,3699
-1019,3630
-1173,3558
-1272,3520
-1306,3509
-1447,3468
-1593,3434
-1719,3411
-1848,3397
-1966,3394
-2101,3398
-2347,3421
-2512,3443
-2775,3485
-3081,3543
-3250,3575
-3409,3602
-3631,3632
-3859,3645
-3958,3642
-4065,3631
-4231,3595
-4304,3571
-4391,3531
-4520,3444
-4627,3333
-4702,3217
-4746,3110
-4776,2962
-4785,2775
-4782,2723
-4764,2585
-4742,2488
-4675,2284
-4630,2188
-4533,2017
-4426,1844
-4276,1602
-4197,1479
-4107,1348
-3952,1157
-3855,1062
-3742,975
-3621,906
-3430,849
-3320,846
-3208,862
-2984,940
-2875,1002
-2687,1147
-2587,1236
-2505,1310
-2370,1433
-2184,1602
-2040,1719
-1908,1812
-1740,1904
-1529,1978
-1402,2005
-1359,2013
-830,2049
-710,2052
-574,2055
-299,2060
-268,2060
73,2064
278,2065
500,2066
643,2067
950,2072
1095,2075
1339,2080
1585,2087
1749,2092
1912,2098
2076,2103
2288,2109
2533,2113
2717,2110
2962,2095
3253,2045
3392,1999
3530,1930
3605,1881
3736,1763
3833,1632
3908,1457
3938,1351
3986,1185
4032,1035
4076,894
4087,855
4145,668
4210,443
4237,316
4245,219
4225,30
4194,-48
4151,-124
4052,-243
3966,-312
3855,-376
3716,-445
3624,-487
3495,-541
3315,-606
3192,-644
3083,-676
2959,-710
2821,-746
2614,-799
2495,-831
2308,-882
2200,-911
1909,-990
1568,-1082
1394,-1129
1140,-1197
1021,-1229
842,-1278
646,-1331
510,-1367
356,-1409
31,-1497
-155,-1547
-343,-1598
-546,-1653
-749,-1708
-1093,-1800
-1234,-1839
-1497,-1913
-1714,-1973
-1928,-2032
-2178,-2101
-2300,-2134
-2514,-2191
-2654,-2223
-2752,-2238
-2889,-2242
-2912,-2241
-3048,-2214
-3142,-2171
-3205,-2128
-3283,-2053
-3360,-1924
-3422,-1808
-3437,-1780
-3487,-1690
-3556,-1582
-3635,-1468
-3647,-1451
-3779,-1257
-3886,-1096
-3945,-1006
-3999,-925
-4068,-821
-4145,-705
-4209,-607
-4364,-372
-4448,-245
-4541,-104
-4635,38
-4714,160
-4785,271
-4941,524
-5088,789
-5160,925
-5238,1076
-5371,1341
-5484,1568
-5588,1783
-5691,2000
-5765,2157
-5855,2348
-5959,2570
-6024,2703
-6097,2850
-6234,3091
-6332,3245
-6480,3462
-6631,3654
-6772,3813
-6876,3923
-7012,4063
-7134,4187
-7282,4333
-7417,4464
-7579,4622
-7718,4754
-7821,4853
-7934,4960
-8000,5022
-8074,5093
-8123,5142
-8199,5245
-8219,5292
-8232,5347
-8231,5403
-7869,5613
-7803,5622
-7719,5633
