x,y
-4116,-1930
-4123,-2012
-4126,-2068
-4128,-2093
-4129,-2115
-4101,-1980
-4095,-2082
-4089,-2147
-4080,-2217
-4076,-2250
-4065,-2313
-4053,-2375
-4044,-2415
-4032,-2473
-4024,-2510
-4011,-2566
-3998,-2620
-3978,-2701
-3965,-2755
-3950,-2814
-3934,-2876
-3923,-2920
-2159,-8121
-2120,-8094
-2081,-8066
-2011,-8008
-1974,-7974
-1919,-7918
-1892,-7890
-1110,-7800
-1066,-7827
-1024,-7852
-982,-7877
-918,-7918
-847,-7961
-784,-7994
-719,-8021
-678,-8032
-623,-8049
-582,-8061
-496,-8078
-383,-8091
-321,-8094
-282,-8094
-171,-8087
-109,-8077
-2,-8047
81,-8014
143,-7985
184,-7962
259,-7915
329,-7865
406,-7800
487,-7718
532,-7663
557,-7627
606,-7550
633,-7505
676,-7414
705,-7339
724,-7287
752,-7212
776,-7148
794,-7100
823,-7021
837,-6983
883,-6859
922,-6756
951,-6677
965,-6641
1003,-6536
1029,-6467
1054,-6396
1079,-6324
1139,-6150
1176,-6038
1230,-5869
1253,-5796
1299,-5645
1323,-5568
1354,-5461
1395,-5319
1409,-5274
1476,-5039
1531,-4889
1554,-4816
1632,-4505
1652,-4427
1667,-4371
1696,-4255
1739,-4090
1765,-3990
1784,-3914
1809,-3818
1835,-3718
1888,-3520
1962,-3241
2004,-3082
2041,-2943
2058,-2877
2087,-2769
2105,-2702
2141,-2566
2148,-2543
2176,-2440
2208,-2324
2226,-2259
2248,-2179
2267,-2112
2299,-1998
2318,-1932
2335,-1870
2359,-1779
2372,-1724
2387,-1648
2397,-1579
2403,-1500
2404,-1430
2400,-1348
2386,-1254
2376,-1207
2349,-1125
2316,-1056
1871,-752
1814,-737
1769,-726
1695,-709
1604,-692
1531,-681
1439,-673
1384,-671
1298,-669
1238,-670
1159,-670
1095,-674
987,-685
822,-716
757,-735
602,-797
491,-856
395,-917
295,-990
252,-1024
211,-1059
140,-1122
83,-1176
5,-1259
-51,-1329
-94,-1386
-148,-1461
-187,-1516
-224,-1568
-265,-1626
-302,-1679
-366,-1769
-377,-1784
-417,-1840
-448,-1885
-510,-1972
-605,-2106
-678,-2209
-719,-2267
-783,-2358
-838,-2438
-895,-2523
-942,-2593
-1065,-2775
-1142,-2889
-1285,-3102
-1366,-3222
-1394,-3263
-1473,-3381
-1514,-3441
-1558,-3505
-1633,-3610
-1694,-3687
-1740,-3739
-1809,-3810
-1880,-3870
-1898,-3885
-1945,-3919
-1997,-3951
-2052,-3980
-2102,-4003
-2125,-4011
-2382,-4074
-2446,-4080
-2563,-4082
-2618,-4078
-2675,-4071
-2792,-4043
-2864,-4016
-2929,-3986
-2988,-3955
-3040,-3924
-3105,-3876
-3145,-3841
-3217,-3768
-3254,-3726
-3301,-3665
-3354,-3586
-3407,-3488
-3428,-3440
-3466,-3345
-3482,-3297
-3513,-3193
-3527,-3133
-3546,-3049
-3561,-2971
-3574,-2904
-3589,-2798
-3603,-2649
-3604,-2538
-3601,-2486
-3596,-2436
-3581,-2353
-3557,-2265
-2873,-2217
-2824,-2239
-2786,-2254
-2736,-2270
-2659,-2287
-2593,-2293
-2539,-2291
-2493,-2284
-2361,-1520
-2395,-1471
-2427,-1430
-2452,-1400
-2536,-1305
-2565,-1274
-2621,-1215
-2656,-1179
-2707,-1124
-2767,-1055
-2842,-964
-2865,-934
-2941,-831
-2988,-760
-3034,-685
-3081,-598
-3141,-465
-3166,-400
-3169,-391
-3187,-337
-3200,-291
-3216,-225
-3226,-161
-3229,-110
-3229,-64
-3224,14
-2243,-417
-2216,-445
-2184,-478
-586,-274
-563,-245
-506,-169
-3855,-494
-3867,-546
-3888,-639
-3909,-733
-3923,-798
-3946,-903
-3961,-969
-3989,-1096
-4006,-1177
-4022,-1255
-4044,-1377
-4068,-1523
-4086,-1648
-4097,-1741
-4130,-2127
-4137,-2259
-4141,-2456
-4140,-2637
-4137,-2737
-4124,-2966
-4113,-3108
-4098,-3240
-4087,-3333
-4049,-3590
-4019,-3769
-3996,-3895
-3962,-4063
-3920,-4262
-3894,-4377
-3867,-4492
-3817,-4701
-3758,-4941
-3699,-5177
-3646,-5385
-3600,-5565
-3542,-5791
-3502,-5943
-3454,-6125
-3421,-6247
-3364,-6461
-3314,-6644
-3270,-6809
-3216,-7006
-3183,-7129
-3121,-7354
-3079,-7496
-3034,-7647
-2967,-7850
-2934,-7937
-2897,-8027
-2856,-8116
-2820,-8184
-2766,-8274
-2713,-8344
-2653,-8407
-2602,-8448
-2556,-8476
-2487,-8504
-2456,-8512
-2384,-8518
-2313,-8509
-2267,-8495
-2249,-8487
