x,y
12007,-2048
11996,-2115
11985,-2166
11953,-2290
11916,-2419
11882,-2520
11843,-2626
11787,-2767
11743,-2865
11694,-2970
11597,-3162
11508,-3317
11451,-3413
11385,-3519
11309,-3641
11229,-3765
11154,-3879
10995,-4118
10837,-4368
10764,-4488
10665,-4653
10515,-4908
10422,-5069
10274,-5319
10172,-5489
10045,-5703
9948,-5862
9743,-6193
9583,-6437
9556,-6477
9350,-6781
9245,-6934
9158,-7055
9094,-7145
8998,-7279
8943,-7360
8899,-7431
8829,-7577
8814,-7624
8800,-7699
8798,-7750
8802,-7790
8817,-7855
8832,-7888
8916,-7984
9010,-8041
9053,-8064
9088,-8083
9182,-8152
9199,-8170
9092,-8566
9002,-8628
8894,-8704
8820,-8755
8761,-8798
8637,-8894
8557,-8953
8428,-9020
8384,-9033
8336,-9040
8261,-9040
8216,-9033
8177,-9021
8009,-8816
7991,-8724
7988,-8658
7989,-8592
7996,-8502
8008,-8407
8025,-8310
8037,-8247
8056,-8139
8071,-8062
8082,-8006
8104,-7884
8142,-7669
8162,-7560
8178,-7470
8216,-7271
8245,-7119
8295,-6870
8325,-6704
8370,-6445
8399,-6194
8395,-6032
8370,-5887
8343,-5809
8307,-5734
8207,-5595
8082,-5486
7968,-5409
7788,-5288
7647,-5166
7591,-5107
7514,-5014
7446,-4919
7363,-4782
7306,-4687
7184,-4526
7117,-4457
6996,-4356
6916,-4304
6815,-4250
6667,-4193
6601,-4173
6315,-4130
6131,-4125
6026,-4124
5924,-4121
5816,-4113
5723,-4100
5591,-4068
5434,-4004
5380,-3969
5295,-3897
5211,-3798
5115,-3650
5042,-3496
5012,-3419
4941,-3252
4893,-3158
4794,-3011
4731,-2945
4588,-2828
4517,-2781
4393,-2709
4197,-2605
4032,-2525
3855,-2446
3690,-2380
3518,-2321
3313,-2258
3018,-2179
2762,-2124
2568,-2088
2173,-2025
1955,-1996
1781,-1974
1542,-1947
1195,-1909
1066,-1895
856,-1872
713,-1856
455,-1826
355,-1815
185,-1796
21,-1776
-102,-1755
-186,-1733
-262,-1705
-374,-1641
-458,-1567
-504,-1514
-542,-1457
-586,-1356
-611,-1242
-622,-1150
-626,-1107
-626,-992
-621,-856
-612,-744
-605,-620
-601,-537
-597,-420
-596,-359
-598,-291
-606,-212
-616,-152
-638,-67
-685,11
-732,51
-1117,-68
-1151,-93
-1208,-126
-1248,-143
-1327,-162
-1447,-168
-1516,-162
-1638,-140
-1657,-136
-1791,-111
-1904,-93
-2059,-73
-2191,-49
-2243,-33
-2284,-15
-2351,37
-2367,57
-2395,108
-2412,154
-2429,237
-2433,305
-2426,380
-2418,430
-2401,498
-2359,612
-2307,710
-2274,760
-2226,822
-2170,884
-2091,959
-2062,982
-1960,1055
-1802,1140
-1649,1198
-1589,1216
-1386,1260
-1291,1272
-1162,1283
-1056,1286
-891,1284
-723,1274
-520,1254
-302,1227
-91,1198
72,1173
247,1145
453,1110
677,1072
991,1021
1240,980
1422,952
1581,927
1742,903
1920,876
2050,856
2346,811
2513,786
2655,764
2927,723
3148,690
3387,655
3662,615
3774,599
4061,562
4324,531
4526,508
4889,467
5095,444
5291,421
5532,393
5899,350
6168,319
6529,278
6674,261
6928,230
7146,201
7318,179
7737,123
7901,102
8120,73
8358,42
8688,-1
8853,-23
9128,-59
9291,-80
9610,-122
9862,-156
10013,-176
10217,-202
10350,-219
10516,-240
10743,-269
10828,-280
11013,-311
11276,-387
11283,-389
11390,-449
11473,-516
11519,-569
11565,-650
11587,-713
11603,-775
11609,-828
11609,-899
11604,-956
11584,-1070
11574,-1126
11565,-1216
11574,-1315
11594,-1375
11613,-1410
11680,-1494
11715,-1523
11763,-1555
11911,-1662
11951,-1708
11984,-1766
12007,-1849
12014,-1955
12000,-2092
11982,-2177
11968,-2234
11930,-2370
11907,-2444
11868,-2559
11834,-2648
11794,-2750
11717,-2921
11622,-3115
11479,-3366
11423,-3457
11329,-3609
11276,-3692
11166,-3861
11074,-3999
10985,-4134
10851,-4347
10778,-4465
10694,-4603
10583,-4791
10429,-5056
10330,-5224
10233,-5387
10082,-5641
9961,-5841
9893,-5952
9799,-6103
9683,-6287
9601,-6411
