x,y
-7651,-6780
-7660,-6649
-7671,-6460
-7679,-6328
-7669,-5998
-7665,-5942
-7632,-5618
-7606,-5457
-7570,-5281
-7548,-5184
-7528,-5106
-7498,-4997
-7481,-4941
-7423,-4786
-7399,-4743
-7338,-4678
-7282,-4650
-7228,-4632
-7140,-4612
-7018,-4597
-6937,-4590
-6811,-4579
-6718,-4570
-6526,-4547
-6468,-4537
-6277,-4498
-6182,-4476
-6052,-4444
-5895,-4405
-5779,-4377
-5613,-4334
-5504,-4306
-5281,-4251
-5179,-4231
-5037,-4212
-4756,-4186
-4612,-4158
-4444,-4097
-4248,-4000
-4092,-3922
-3959,-3866
-3743,-3793
-3552,-3751
-3511,-3745
-3250,-3711
-3105,-3693
-2939,-3664
-2876,-3649
-2705,-3588
-2611,-3538
-2492,-3452
-2472,-3434
-2390,-3345
-2315,-3218
-2286,-3134
-2265,-3026
-2263,-2908
-2274,-2817
-2305,-2696
-2329,-2634
-2407,-2484
-2480,-2379
-2552,-2290
-2601,-2231
-2639,-2183
-2690,-2109
-2727,-2033
-2746,-1953
-2744,-1870
-2717,-1764
-2692,-1701
-2665,-1647
-2634,-1593
-2608,-1554
-2581,-1514
-2541,-1460
-2476,-1381
-2403,-1299
-2355,-1247
-2300,-1186
-2233,-1105
-2162,-1010
-2097,-914
-2001,-774
-1968,-728
-1880,-609
-1799,-506
-1696,-383
-1600,-280
-1568,-250
-1539,-228
-1456,-198
-1221,-421
-1210,-463
-1204,-488
-1188,-549
-1160,-639
-1132,-718
-1070,-862
-1014,-963
-975,-1020
-922,-1079
-895,-1100
-930,-736
-967,-694
-993,-658
-1021,-595
-1029,-539
-1028,-525
-1012,-462
-867,-324
-814,-295
-765,-272
-666,-231
-579,-200
-511,-182
-428,-169
-417,-168
-338,-177
-276,-217
-247,-259
-215,-336
-205,-372
-192,-452
-188,-495
-185,-600
-190,-707
-197,-788
-203,-846
-212,-923
-219,-988
-228,-1066
-237,-1146
-251,-1279
-259,-1349
-271,-1463
-294,-1656
-330,-1824
-352,-1904
-440,-2172
-531,-2411
-596,-2568
-644,-2676
-753,-2891
-810,-2982
-879,-3077
-988,-3200
-1090,-3293
-1202,-3376
-1362,-3468
-1451,-3512
-1568,-3567
-1800,-3679
-1916,-3738
-2019,-3790
-2294,-3927
-2463,-4006
-2622,-4074
-2857,-4163
-3078,-4231
-3301,-4282
-3381,-4297
-3551,-4321
-3637,-4330
-3797,-4347
-3884,-4356
-3930,-4361
-4008,-4373
-4064,-4385
-4106,-4401
-4605,-4615
-4625,-4611
-4707,-4600
-4775,-4601
-4897,-4615
-4955,-4624
-5056,-4640
-5190,-4660
-5270,-4671
-5381,-4685
-5459,-4695
-5657,-4719
-5755,-4730
-5866,-4742
-6017,-4758
-6178,-4772
-6281,-4780
-6400,-4787
-6490,-4793
-6656,-4819
-6736,-4853
-6831,-4923
-6886,-4978
-6971,-5087
-7054,-5225
-7086,-5293
-7122,-5386
-7149,-5474
-7190,-5670
-7205,-5781
-7218,-5939
-7220,-6064
-7205,-6229
-7141,-6379
-7056,-6468
-6965,-6630
-6931,-6729
-6880,-6895
-6820,-7136
-6798,-7252
-6785,-7332
-6773,-7416
-6759,-7546
-6752,-7617
-6748,-7684
-6746,-7756
-6748,-7833
-6752,-7867
-6771,-7931
-6813,-7982
-6873,-8041
-6898,-8135
-6898,-8161
-6895,-8219
-6887,-8283
-6860,-8408
-6820,-8534
-6774,-8647
-6732,-8734
-6692,-8805
-6608,-8929
-6513,-9041
-6376,-9160
-6285,-9215
-6221,-9250
-6132,-9298
-6054,-9344
-6003,-9381
-6176,-9757
-6222,-9762
-6302,-9769
-6357,-9772
-6402,-9773
-6452,-9773
-6515,-9769
-6582,-9760
-6652,-9744
-6793,-9563
-6797,-9549
-6819,-9442
-6850,-9329
-6907,-9210
-6935,-9162
-7013,-9048
-7092,-8932
-7123,-8882
-7201,-8728
-7242,-8629
-7284,-8514
-7317,-8416
-7365,-8258
-7420,-8069
-7460,-7923
-7507,-7747
-7540,-7619
-7591,-7366
-7610,-7243
-7629,-7074
-7635,-7003
-7653,-6756
-7666,-6552
-7674,-6420
-7681,-6244
-7672,-6056
-7656,-5832
-7650,-5764
-7623,-5558
-7607,-5464
-7586,-5355
-7541,-5158
-7514,-5055
-7494,-4985
-7461,-4882
-7426,-4792
-7380,-4716
-7270,-4645
-7201,-4625
-7060,-4601
-6925,-4587
-6849,-4582
-6777,-4576
-6693,-4568
-6483,-4540
-6424,-4529
-6303,-4504
-6082,-4451
-5871,-4399
-5744,-4368
-5565,-4322
-5381,-4274
-5217,-4238
-5087,-4218
-4981,-4207
-4646,-4166
-4490,-4117
-4320,-4037
-4216,-3983
-3967,-3868
-3789,-3807
-3762,-3798
-3484,-3741
-3259,-3711
-3022,-3680
-2806,-3628
-2690,-3581
-2612,-3539
-2549,-3497
-2439,-3402
-2389,-3344
-2347,-3282
