meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1239,9550,1,1,2024-06-30T13:03:02.157000+00:00,20.453,31.028,20.96,300.0,229.0,False,72.441,"[2048, 2051, 2051, 2051, 2049, 2049]","[2051, 2051, 2049, 2049, 2051, 2049, 2051]","[2051, 2051, 2049, 2051, 2049, 2049, 2051]",291.0
1239,9550,4,1,2024-06-30T13:03:02.157000+00:00,21.011,31.567,21.097,297.0,229.0,False,73.675,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2051, 2051]",289.0
1239,9550,11,1,2024-06-30T13:03:02.157000+00:00,22.344,32.476,21.802,308.0,222.0,False,76.622,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",295.0
1239,9550,16,1,2024-06-30T13:03:02.157000+00:00,22.843,32.797,26.871,301.0,219.0,False,82.511,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2064, 2064, 2064]",298.0
1239,9550,44,1,2024-06-30T13:03:02.157000+00:00,21.513,32.193,21.528,308.0,231.0,False,75.234,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",293.0
1239,9550,63,1,2024-06-30T13:03:02.157000+00:00,21.056,32.359,21.359,306.0,232.0,False,74.774,"[2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2051]",296.0
1239,9550,1,2,2024-06-30T13:04:14.597000+00:00,17.697,31.186,21.055,290.0,227.0,False,69.938,"[2049, 2049, 2048, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2051, 2048]",286.0
1239,9550,4,2,2024-06-30T13:04:15.831000+00:00,17.484,31.318,21.011,300.0,228.0,False,69.813,"[2049, 2049, 2051, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2048, 2049, 2048]","[2048, 2049, 2051, 2049, 2048, 2048]",292.0
1239,9550,63,2,2024-06-30T13:04:16.930000+00:00,17.469,31.731,21.38,295.0,225.0,False,70.58,"[2049, 2051, 2049, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2049, 2049, 2049, 2051]",298.0
1239,9550,44,2,2024-06-30T13:04:17.390000+00:00,17.33,31.68,21.52,320.0,219.0,False,70.53,"[2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2051]",312.0
1239,9550,11,2,2024-06-30T13:04:18.778000+00:00,17.502,31.56,21.559,312.0,222.0,False,70.621,"[2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2051, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2049]",304.0
1239,9550,16,2,2024-06-30T13:04:24.667000+00:00,45.822,31.679,21.306,292.0,225.0,True,98.807,"[None, 2064, 2064, 2048, 2048, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049]",287.0
1239,9550,1,3,2024-06-30T13:05:24.628000+00:00,17.531,31.065,21.261,292.0,230.0,False,69.857,"[None, 2049, 2051, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",286.0
1239,9550,4,3,2024-06-30T13:05:26.122000+00:00,17.583,31.63,21.315,296.0,225.0,False,70.528,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",288.0
1239,9550,63,3,2024-06-30T13:05:27.617000+00:00,17.801,31.483,21.157,287.0,224.0,False,70.441,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2049, 2049, 2048, 2049, 2049, 2048, 2048]",308.0
1239,9550,44,3,2024-06-30T13:05:28.053000+00:00,17.378,31.936,21.409,318.0,233.0,False,70.723,"[2049, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2049, 2048, 2049, 2051]",289.0
1239,9550,11,3,2024-06-30T13:05:29.434000+00:00,17.235,31.783,21.701,310.0,222.0,False,70.719,"[2049, 2049, 2049, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2049]",300.0
1239,9550,16,3,2024-06-30T13:06:03.570000+00:00,17.709,31.676,21.353,295.0,226.0,False,70.738,"[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2048]",287.0
1239,9550,1,4,2024-06-30T13:06:34.454000+00:00,17.571,31.18,21.152,293.0,230.0,False,69.903,"[2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",289.0
1239,9550,4,4,2024-06-30T13:06:36.367000+00:00,17.651,31.55,21.188,291.0,228.0,False,70.389,"[2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",285.0
1239,9550,63,4,2024-06-30T13:06:37.994000+00:00,17.555,31.631,21.281,296.0,228.0,False,70.467,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2051, 2048, 2048, 2048, 2048]",289.0
1239,9550,44,4,2024-06-30T13:06:38.680000+00:00,17.336,31.922,21.363,309.0,229.0,False,70.621,"[2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2049, 2049, 2049, 2048, 2048]",297.0
1239,9550,11,4,2024-06-30T13:06:40.213000+00:00,17.394,31.724,21.673,307.0,221.0,False,70.791,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2049]",305.0
1239,9550,16,4,2024-06-30T13:07:14.238000+00:00,17.685,31.248,21.393,,227.0,False,70.326,"[2048, 2049, 2049, 2048, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1239,9550,1,5,2024-06-30T13:07:44.347000+00:00,17.674,31.153,21.178,,230.0,False,70.005,"[2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048]",291.0
1239,9550,4,5,2024-06-30T13:07:46.707000+00:00,17.683,31.491,21.25,293.0,228.0,False,70.424,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",287.0
1239,9550,63,5,2024-06-30T13:07:48.445000+00:00,17.61,31.332,21.251,294.0,224.0,False,70.193,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]","[2049, 2048, 2051, 2049, 2048, 2048, 2048]",294.0
