date,session_key,stop_duration,meeting_key,driver_number,lap_number,lane_duration,pit_duration
2024-06-30 13:04:53.204000+00:00,9550,,1239,16,1,31.9,31.9
2024-06-30 13:23:00.965000+00:00,9550,,1239,16,16,21.6,21.6
2024-06-30 13:28:25.744000+00:00,9550,,1239,44,21,21.5,21.5
2024-06-30 13:28:31.893000+00:00,9550,,1239,11,21,21.2,21.2
2024-06-30 13:29:31.828000+00:00,9550,,1239,63,22,21.6,21.6
2024-06-30 13:30:32.553000+00:00,9550,,1239,1,23,21.8,21.8
2024-06-30 13:30:38.218000+00:00,9550,,1239,4,23,21.6,21.6
2024-06-30 13:43:26.505000+00:00,9550,,1239,16,33,22.2,22.2
2024-06-30 13:58:03.267000+00:00,9550,,1239,63,46,21.2,21.2
2024-06-30 14:03:40.307000+00:00,9550,,1239,1,51,25.8,25.8
2024-06-30 14:03:43.418000+00:00,9550,,1239,4,51,21.4,21.4
2024-06-30 14:04:31.937000+00:00,9550,,1239,11,51,27.5,27.5
2024-06-30 14:04:54.872000+00:00,9550,,1239,16,51,20.9,20.9
2024-06-30 14:06:34.098000+00:00,9550,,1239,44,53,27.2,27.2
2024-06-30 14:19:30.264000+00:00,9550,,1239,1,64,22.7,22.7
